,Price,TVL_1,TVL_2,TVL_3,LVR_1,LVR_2,LVR_3,Collected_Fees_1,Collected_Fees_2,Collected_Fees_3,Collected_Fees_Retail_1,Collected_Fees_Retail_2,Collected_Fees_Retail_3,Collected_Fees_Arbitrage_1,Collected_Fees_Arbitrage_2,Collected_Fees_Arbitrage_3,Volume_1,Volume_2,Volume_3,Volume_Retail_1,Volume_Retail_2,Volume_Retail_3,Volume_Arbitrage_1,Volume_Arbitrage_2,Volume_Arbitrage_3,Best Pool,Best Pool TVL/CFMM
0,2262.4493269056907,100001086.84272239,100053506.89296052,100126244.6175197,200702.4567198732,27566.133995607,67246.88890769241,494804.9857443822,291289.1691963239,336705.3853385877,337801.08446847065,291289.1691963239,336705.3853385877,157003.90127591154,0,0,164934995.24812794,221671525.488709,321937853.99765944,112600361.48949073,97096389.73210827,112235128.44619468,52334633.758637205,124575135.75660074,209702725.5514648,3,1.0012515641454394
1,1964.4131883315467,93204041.77732962,93268106.16321266,93311066.2296282,205640.72744779024,29220.756662467782,68205.22848097463,492676.6768854604,293533.77573576465,321246.88356862223,331895.11369130877,293533.77573576465,321246.88356862223,160781.5631941516,0,0,164225558.9618194,231646111.81770056,319088869.0443822,110631704.56376877,97844591.91192171,107082294.52287298,53593854.39805064,133801519.90577884,212006574.52150923,3,1.0011482812360677
2,2522.2568915207735,105563691.25992125,105641020.84004341,105643657.6668967,234024.11995333133,29544.523007026855,54702.90210495315,499423.2253638585,307409.8749290127,321691.00495730445,317294.58564032475,307409.8749290127,321691.00495730445,182128.63972353376,0,0,166474408.45461914,234008719.89367893,283923580.22440517,105764861.88010783,102469958.30967112,107230334.98576756,60709546.574511304,131538761.58400781,176693245.2386376,3,1.000757518101357
3,2543.8523058239093,106023638.40917873,106106706.77255213,106146942.72409138,218375.59507456646,29082.717736129664,59433.44613671849,485573.5313954189,298069.95045756793,337461.0153439573,315186.4949742067,298069.95045756793,337461.0153439573,170387.0364212122,0,0,161857843.7984724,230273463.21570185,298702552.8300961,105062164.99140176,99356650.15252261,112487005.11465253,56795678.80707066,130916813.06317924,186215547.7154436,3,1.0011629889028781
4,2256.2634048913724,99858367.69193074,99924064.97947511,99971296.0717828,215399.9428271694,27919.42425118025,63840.944468600435,487597.50761885254,301359.8632863334,336438.84632637125,318975.32873448863,301359.8632863334,336438.84632637125,168622.17888436394,0,0,162532502.53961757,226772419.88440576,307941622.2114222,106325109.5781629,100453287.76211116,112146282.10879108,56207392.96145468,126319132.1222946,195795340.1026311,3,1.0011308854977528
5,2407.4300594577003,103137793.80281956,103200374.54648629,103249383.5739945,223114.1602344883,29355.317925875144,61046.58965582177,499697.68395759794,305764.74954598607,325754.6010583409,325474.7492734168,305764.74954598607,325754.6010583409,174222.93468418115,0,0,166565894.6525327,232950020.74695596,304835429.9613134,108491583.09113903,101921583.18199402,108584867.0194486,58074311.56139365,131028437.56496194,196250562.94186482,3,1.0010819484018465
6,1620.985719606728,84679072.90657425,84747599.60990746,84763218.43200988,194052.48268674087,27266.937278341422,53318.06560107074,467103.55589920643,304951.3154256148,324329.7463245524,314634.04709485767,304951.3154256148,324329.7463245524,152469.5088043488,0,0,155701185.29973635,229472271.45302516,281455284.7833241,104878015.6982868,101650438.47520417,108109915.44151732,50823169.60144955,127821832.977821,173345369.3418068,3,1.0009936991814785
7,2134.0146498895692,97102939.08518052,97183484.37047319,97215754.83449148,215480.1975524801,29055.285576093585,67233.72213144359,484273.3092272489,307573.3629649463,329885.39684931876,316265.2095895413,307573.3629649463,329885.39684931876,168008.09963770758,0,0,161424436.40908307,233392102.0896879,315126774.8762574,105421736.5298472,102524454.321649,109961798.94977209,56002699.87923587,130867647.76803891,205164975.92648536,3,1.0011618160106563
8,2955.4640624198037,114230793.04260892,114319366.2688789,114354758.82239327,237964.2718256127,29466.66854567177,63697.83610821088,486894.523884745,302220.22372267477,342987.8772539537,302157.47433570586,302220.22372267477,342987.8772539537,184737.04954903916,0,0,162298174.6282481,229731053.57928455,304532949.1397755,100719158.11190179,100740074.57422622,114329292.41798437,61579016.51634631,128990979.00505832,190203656.72179115,3,1.001085222088392
9,2193.4172967285726,98467827.64731878,98542143.9317492,98552228.96509016,211407.35109537988,28346.81511733358,57171.417055846105,481947.2262376082,303003.53958608094,322893.7689749851,316687.60493976274,303003.53958608094,322893.7689749851,165259.62129784544,0,0,160649075.41253558,230186523.00066024,285189611.97642916,105562534.97992043,101001179.8620273,107631256.32499588,55086540.432615146,129185343.13863294,177558355.6514333,3,1.0008571461337978
10,2349.9794487263766,101906652.48160245,101985742.8682917,101980992.78537992,245449.90479856433,31491.617675406058,52441.086415735765,511601.65245113545,306577.24978419294,329601.7425100316,320465.7473289755,306577.24978419294,329601.7425100316,191135.90512215992,0,0,170533884.15037906,241512902.26628128,280589391.1713193,106821915.77632572,102192416.59473103,109867247.50334404,63711968.37405335,139320485.67155024,170722143.66797525,2,1.0007761062184193
11,2076.2568294840466,95810101.97771575,95871312.27706131,95922009.803181,205364.30291497774,27323.15761562533,56925.23673332277,481356.66173001146,298141.9286665027,329944.73763409693,320649.87897547527,298141.9286665027,329944.73763409693,160706.78275453622,0,0,160452220.57667074,224567242.205944,294963118.2796397,106883292.99182531,99380642.88883334,109981579.2113652,53568927.58484542,125186599.31711066,184981539.0682745,3,1.0011680169747788
