,Price,TVL_1,TVL_2,TVL_3,LVR_1,LVR_2,LVR_3,Collected_Fees_1,Collected_Fees_2,Collected_Fees_3,Collected_Fees_Retail_1,Collected_Fees_Retail_2,Collected_Fees_Retail_3,Collected_Fees_Arbitrage_1,Collected_Fees_Arbitrage_2,Collected_Fees_Arbitrage_3,Volume_1,Volume_2,Volume_3,Volume_Retail_1,Volume_Retail_2,Volume_Retail_3,Volume_Arbitrage_1,Volume_Arbitrage_2,Volume_Arbitrage_3,Best Pool,Best Pool TVL/CFMM
0,1974.1985327555512,98542036.99573076,99038124.65986145,99656683.82471749,3774069.152497189,550893.4685852077,2022683.1016666666,6333490.765055129,4441155.190948118,5471470.804056928,3390596.6318828664,4070270.96019002,3916241.2637245194,2942894.1331722625,370884.2307580982,1555229.540332408,2111163588.351706,1851989331.3587427,1929983451.6149302,1130198877.2942872,1356756986.729968,1305413754.5748007,980964711.057419,495232344.6287746,624569697.0401295,3,1.011311384085099
1,4044.786415296532,140131891.13211942,140763152.03388613,141340022.18253493,4682092.610112273,690744.5575604832,2151813.0723960153,6944049.0468589645,4575480.216647351,5481631.887148034,3350887.16782362,4124417.131904112,3878898.48888684,3593161.879035344,451063.0847432391,1602733.3982611934,2314683015.6196513,1977181882.8503108,2044989369.5398035,1116962389.274534,1374805710.6347227,1292966162.9622593,1197720626.3451173,602376172.2155881,752023206.5775442,3,1.0086213854723223
2,1362.4885033029373,82103049.31678668,82582699.46518679,83225815.42240815,3397932.9136999487,502090.48757423245,1983329.843318727,6040707.429526782,4378395.921248735,5484570.457409726,3377213.893006807,4037566.8726783567,3945490.091750592,2663493.5365199745,340829.0485703781,1539080.3656591347,2013569143.175587,1800939401.4092875,1898042897.157714,1125737964.335602,1345855624.2261002,1315163363.9168634,887831178.8399849,455083777.18318725,582879533.2408506,3,1.013675084116418
3,4747.603824838432,151557611.2016906,152288200.3422646,152871439.04147622,4947204.0199644575,761820.9088207093,2270734.583312096,7138851.6377188815,4616947.753024734,5592663.918939304,3361007.844143382,4124184.892787657,3913683.091616897,3777843.7935754997,492762.8602370763,1678980.8273224072,2379617212.572977,2032821676.772973,2109728568.6023235,1120335948.0478172,1374728297.5958712,1304561030.538958,1259281264.5251598,658093379.177102,805167538.0633656,3,1.008668834441031
4,2266.123464065933,105923785.52527568,106541650.8046685,107417295.94523203,3228031.481959744,459917.258913148,1925477.4281544657,5905453.77219559,4378248.4423764935,5472382.737813439,3365951.1797737824,4063099.5800696844,3969313.874456331,2539502.5924218073,315148.86230680917,1503068.8633571083,1968484590.7318702,1775144083.3520627,1877444862.6477535,1121983726.5912635,1354366526.689892,1323104624.818753,846500864.1406065,420777556.6621706,554340237.8290005,3,1.0140998588046117
5,1077.684952214192,73235088.12928638,73647468.31032819,74323522.33235663,3058657.1299518934,439693.56639994774,1916126.617958701,5796230.570455839,4304386.610772551,5470828.7062193565,3382601.721015443,4001475.324869262,3969606.8525452185,2413628.849440396,302911.2859032887,1501221.8536741384,1932076856.8186631,1738253951.9494302,1855552228.5344746,1127533907.005192,1333825108.2897274,1323202284.1817503,804542949.8134711,404428843.6597027,532349944.3527244,3,1.0148621955796486
6,2768.1436450546403,116590387.10421252,117236202.67191298,118058788.40261821,3649810.7900943463,529997.6487773425,2110191.926676066,6188538.163499337,4431489.027386877,5607212.140055708,3337926.0993300644,4074034.1438070615,3975060.434282005,2850612.064169273,357454.8835798151,1632151.7057737026,2062846054.4997706,1835308063.7695527,1938936411.6924198,1112642033.1100156,1358011381.26901,1325020144.7606885,950204021.3897549,477296682.50054264,613916266.9317312,3,1.0125945314607556
7,1331.5520391700077,81483696.7610774,81975885.54849471,82690515.01003635,3030661.514958912,433659.6125271402,1883788.0625956967,5778654.3438168205,4317181.048057664,5448351.95927907,3382918.841889044,4017356.062678904,3969072.7457492473,2395735.5019277767,299824.9853787607,1479279.2135298224,1926218114.6056206,1739420673.2399006,1844383683.576995,1127639613.963035,1339118687.5596254,1323024248.583089,798578500.6425855,400301985.6802751,521359434.99390566,3,1.0148105485751036
8,1204.9524126728245,77521438.23672122,78018316.21766971,78714822.21488485,2996658.002772013,425912.75204809074,1893014.9005588582,5733911.787531469,4334934.799244481,5462261.265889384,3366074.6280336133,4040881.4425537805,3974940.487733894,2367837.1594978557,294053.3566907005,1487320.7781554903,1911303929.1771827,1739559060.6869733,1844893016.4032862,1122024876.0112326,1346960480.8512745,1324980162.5780156,789279053.16595,392598579.83569884,519912853.8252706,3,1.0153942445510298
9,2704.8106536139803,115035260.95476514,115648262.5742393,116264342.1910791,4039317.7676305124,605438.7761180627,2112745.7413411597,6508009.337547934,4484484.352485031,5525116.576768858,3374162.819635952,4081375.4939504014,3914151.551852632,3133846.517911982,403108.8585346298,1610965.024916227,2169336445.8493137,1898746295.6999645,1972758356.25312,1124720939.8786478,1360458497.9834588,1304717183.9508524,1044615505.9706662,538287797.7165058,668041172.3022677,3,1.0106843869098299
10,742.0453297322482,60889682.601930395,61288212.751227625,61786930.362019375,3059913.0451047984,444575.72229965136,1893186.1069265613,5813048.975185588,4346230.986618762,5445571.12474176,3398940.060547764,4039847.6481996085,3963134.3068032106,2414108.9146378245,306383.33841915324,1482436.8179385497,1937682991.7285028,1755679770.160917,1849638103.7735686,1132980020.1825633,1346615882.7331905,1321044768.9344296,804702971.5459393,409063887.42772645,528593334.83913904,3,1.0147356287920695
